IP,pitch,roll,Time
127.0.1.1,-7.379393582116075,2.841581102760153,11/12 00:06:59
127.0.1.1,-7.379393582116075,2.841581102760153,11/12 00:06:59
127.0.1.1,-7.379393582116075,2.841581102760153,11/12 00:07:00
127.0.1.1,-7.379393582116075,2.841581102760153,11/12 00:07:01
127.0.1.1,-7.379393582116075,2.841581102760153,11/12 00:07:02
127.0.1.1,-10.933430436539789,4.454032098336076,11/12 00:07:03
127.0.1.1,-14.591174322000038,5.663375574381602,11/12 00:07:04
127.0.1.1,-20.153007608425174,3.79274385506602,11/12 00:07:05
127.0.1.1,-22.858295274505487,0.7520000923587016,11/12 00:07:06
127.0.1.1,-23.186748826407644,10.872903007662428,11/12 00:07:07
127.0.1.1,-25.930456306569276,8.070433702523884,11/12 00:07:08
127.0.1.1,-26.168505474617145,8.935526679777482,11/12 00:07:09
127.0.1.1,-24.215607541843344,9.087413865219286,11/12 00:07:10
127.0.1.1,-20.59941511219887,9.398535812102537,11/12 00:07:11
127.0.1.1,-13.425608516552884,9.682214058900676,11/12 00:07:12
127.0.1.1,-7.372459232561219,9.604084378758547,11/12 00:07:13
127.0.1.1,-9.22638687048789,9.173604022355677,11/12 00:07:14
127.0.1.1,-10.919435378930432,9.107641470446278,11/12 00:07:15
127.0.1.1,-11.680695820421496,9.24487021615559,11/12 00:07:16
127.0.1.1,-11.836905661834273,9.445243206968023,11/12 00:07:17
127.0.1.1,-11.787180177129287,9.521124901099572,11/12 00:07:18
127.0.1.1,-11.609611480408235,9.659830675216899,11/12 00:07:19
127.0.1.1,-11.709353586631577,9.63662510751178,11/12 00:07:20
127.0.1.1,-11.750364603729272,9.507759074667502,11/12 00:07:21
127.0.1.1,-11.732829800582557,9.514111150595616,11/12 00:07:22
127.0.1.1,-11.662256017209755,9.592183627903445,11/12 00:07:23
127.0.1.1,-11.698222939605396,9.609153232896343,11/12 00:07:24
127.0.1.1,-11.714570143610175,9.557694587689467,11/12 00:07:25
127.0.1.1,-11.631456132921228,9.570758178250761,11/12 00:07:26
127.0.1.1,-11.637507680525859,9.549526535215778,11/12 00:07:27
127.0.1.1,-11.656254842250252,9.579505943030256,11/12 00:07:28
127.0.1.1,-11.676274980481205,9.615541167317597,11/12 00:07:29
127.0.1.1,-4.803745040916723,4.215804064709317,11/12 00:07:30
127.0.1.1,-3.6752603324735693,3.480934406954125,11/12 00:07:31
127.0.1.1,-4.189517227914877,3.781042887244142,11/12 00:07:32
127.0.1.1,-4.704177531404039,4.031086294361376,11/12 00:07:33
127.0.1.1,-5.002877925507975,4.300489872681013,11/12 00:07:34
127.0.1.1,0.34604921310159525,0.08790011233738079,11/12 00:07:35
